,name,description,category,price,page_name,loc,Personal_S_Price,Large_S_Price
31,Gyro Chicken over Cajun Fries,"Cajun falvored potato fries topped with GYRO CHICKEN, Mint Yogurt  Spicy Sauce",Poutines,379,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
32,Crispy Chicken  Bacon,"Potato fries topped with brown gravy, Katsu Chicken, beef Bacon  melted cheddar cheese.",Poutines,439,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
33,Shah Poutine,"Potato fries topped with brown gravy, beef bacon, garlic mushroom, melted cheddar cheese and an egg",Poutines,379,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
34,Roast Chicken,"Potato fries topped with brown gravy, shredded roast chicken  melted cheddar cheese",Poutines,329,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
35,Gyro Chicken over Rice,Choice of rice served with gyro chicken topped with mint yogurt sauce.,Rice Meals,399,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
36,Spicy Basil Chicken,Choice of rice served with spicy basil infused chicken.,Rice Meals,349,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
37,Creamy Mushroom Stuffed Chicken,Choice of rice served with whole chicken breast stuffed with mushroom  cheddar cheese,Rice Meals,497,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
38,Achari Fried Rice,"Pickle flavored fried rice served with katsu chicken
Flavor Choice: Naga/ Garlic",Rice Meals,299,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
39,Mango Habanero Grilled Chicken,"A glorious platter starring juicy chicken legs marinated with mouth-watering spices, slathered in a homemade spicy mango-habanero sauce, and grilled to perfection, accompanied by two sides.

Side Options: MAD Fried Rice, Everything Potato, Garlic Mushroom, and Fries.",Wholesome Platters,649,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
40,Creamcheez Stuffed Chicken,"Seasoned tender chicken pieces stuffed with creamy, gooey cream cheese  spinach filling that you can dip in the most buttery base of velvety textured mashed potato and mushroom gravy.",Wholesome Platters,699,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
41,Mad Monster,"Choice of poutine, Half chicken steak  choice of Classic burger.",Wholesome Platters,649,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
42,Chicken Steak Meal,"Chicken steak coated with a choice of sauce, garlic mushroom  french fries.",Wholesome Platters,419,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
43,Strawberry Caipirinha,"Fresh strawberry muddled with freshly squeezed lime juice, sugar syrup and crushed ice in soda water.",Mocktails,279,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
44,Lime Refreshmint,"Made with mint, freshly squeezed lime juice, black salt and sugar syrup in soda water.",Mocktails,179,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
45,Honey Limade,"Wild honey muddled with mint leaves, freshly squeezed lime juice and sugar syrup in soda water.",Mocktails,219,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
46,Lemon Iced Tea,"A special blend of black tea muddled with freshly squeezed lime juice, sugar syrup and crushed ice.",Mocktails,179,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
47,Just Milo,"Cocoa based malted drink served with added cream, sugar syrup and crushed ice.",Shakes,299,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
48,Cake In My Shake,Brownie piece dipped in hazelnut and cocoa flavored drink.,Shakes,399,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
49,Nutella Madness,"Iconic hazelnut spread mixed with milk, cream and sugar syrup.",Shakes,349,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
50,Peanut Butter,"Crunchy Peanut butter mixed with milk, cream, chocolate and sugar syrup.",Shakes,349,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
51,Cookies n' Cream,"Blended chocolate cookies in milk, cream and sugar syrup.",Shakes,299,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
52,French Vanilla Latte,Classic chilled latte with a hint of Vanilla.,Shakes,299,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']",0.0,0.0
53,Baked-Chicken Arabiatta - Regular,"Pasta coated with  arabiatta sauce,chicken chunk & baked to a cheesy consistency.",Pasta,489,PizzaHut,Dhaka,0.0,0.0
54,Baked-Chicken Mushroom - Regular,Pasta coated with creamy chicken mushroom sauce & baked to a cheesy consistency.,Pasta,599,PizzaHut,Dhaka,0.0,0.0
55,Classic Margherita,"Tomatoes, garlic, oregano.",Pizza,349,PizzaHut,Dhaka,179.0,639.0
56,Veggie Lovers,"Capsicum, onions, mushrooms.",Pizza,389,PizzaHut,Dhaka,199.0,709.0
57,Classic Beef,With onion and green chilies,Pizza,509,PizzaHut,Dhaka,269.0,809.0
58,Ultimate Hot Chicken,"Hot & Spicy Chicken, Onions, Green Chilies",Pizza,509,PizzaHut,Dhaka,269.0,809.0
59,Classic Chicken Sausage,"Chicken Sausage, Onions, Green Chilies",Pizza,509,PizzaHut,Dhaka,269.0,809.0
60,Chicken Exotica,"Chicken, onions, capsicum, jalapenos.",Pizza,619,PizzaHut,Dhaka,329.0,1089.0
61,Spicy Beef.,"Beef, onion, red paprika, jalapenos.",Pizza,619,PizzaHut,Dhaka,329.0,1089.0
62,Spicy Chicken.,"Lebanese chicken, mushroom, onion, green chilies.",Pizza,709,PizzaHut,Dhaka,379.0,1239.0
63,Beef Lovers.,"Beef, onions, black olives, capsicum.",Pizza,709,PizzaHut,Dhaka,379.0,1239.0
