name,description,category,price,page_name,loc
Mango Habanero Grilled Chicken,"A glorious platter starring juicy chicken legs marinated with mouth-watering spices, slathered in a homemade spicy mango-habanero sauce, and grilled to perfection, accompanied by two sides.

Side Options: MAD Fried Rice, Everything Potato, Garlic Mushroom, and Fries.",Wholesome Platters,649,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Creamcheez Stuffed Chicken,"Seasoned tender chicken pieces stuffed with creamy, gooey cream cheese  spinach filling that you can dip in the most buttery base of velvety textured mashed potato and mushroom gravy.",Wholesome Platters,699,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Mad Monster,"Choice of poutine, Half chicken steak  choice of Classic burger.",Wholesome Platters,649,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Chicken Steak Meal,"Chicken steak coated with a choice of sauce, garlic mushroom  french fries.",Wholesome Platters,419,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Strawberry Caipirinha,"Fresh strawberry muddled with freshly squeezed lime juice, sugar syrup and crushed ice in soda water.",Mocktails,279,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Lime Refreshmint,"Made with mint, freshly squeezed lime juice, black salt and sugar syrup in soda water.",Mocktails,179,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Honey Limade,"Wild honey muddled with mint leaves, freshly squeezed lime juice and sugar syrup in soda water.",Mocktails,219,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Lemon Iced Tea,"A special blend of black tea muddled with freshly squeezed lime juice, sugar syrup and crushed ice.",Mocktails,179,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Just Milo,"Cocoa based malted drink served with added cream, sugar syrup and crushed ice.",Shakes,299,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Cake In My Shake,Brownie piece dipped in hazelnut and cocoa flavored drink.,Shakes,399,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Nutella Madness,"Iconic hazelnut spread mixed with milk, cream and sugar syrup.",Shakes,349,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Peanut Butter,"Crunchy Peanut butter mixed with milk, cream, chocolate and sugar syrup.",Shakes,349,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
Cookies n' Cream,"Blended chocolate cookies in milk, cream and sugar syrup.",Shakes,299,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
French Vanilla Latte,Classic chilled latte with a hint of Vanilla.,Shakes,299,Madchef,"['Wari', 'Banani', 'Dhanmondi', 'Mirpur', 'Uttara', 'Bailey Road', 'Sylhet']"
