name,description,category,price,page_name,loc
Garlic Bread Sticks - Family,"Freshly made bread sticks, sprinkled with garlic seasoning & brushed with garlic butter.",Appetisers, 149,PizzaHut,Dhaka
Garlic Bread - Family,"In the Italian tradition-hot garlic butter, spread on four slices of crusty french bread.",Appetisers, 189,PizzaHut,Dhaka
Baked Potato Wedges - Family,Crisp & savoury potato wedges served with dipping sauces.,Appetisers, 259,PizzaHut,Dhaka
Spicy Garlic Mushrooms - Family,Button mushrooms lightly sauteed in a blend of herbs & spice garlic.,Appetisers, 489,PizzaHut,Dhaka
Garlic Bread Spicy Supreme - Family,"Topped with Cheese, Onion & Green Chilies.",Appetisers, 299,PizzaHut,Dhaka
Cheesy Garlic Sticks - Family,Breadsticks with hot melting cheese on top.,Appetisers, 209,PizzaHut,Dhaka
Garlic bread with cheese - Family,Hot Garlic Bread topped with Mozzarella Cheese.,Appetisers, 289,PizzaHut,Dhaka
