name,description,category,price,page_name,loc
7 UP - Medium,7UP (600ml),Drinks, 35,PizzaHut,Dhaka
Mountain Dew - Family,Mountain Dew (600 ml),Drinks, 32,PizzaHut,Dhaka
PEPSI - Family,PEPSI (600 ml),Drinks, 35,PizzaHut,Dhaka
